url,title,image,calories,fat,carbs,protein
https://foods.fatsecret.com/calories-nutrition/generic/baked-beans-low-sodium,Low Sodium Baked Beans,https://m.ftscrt.com/static/images/og_fatsecret.png,266,1.01,52.14,12.14
https://foods.fatsecret.com/calories-nutrition/generic/baked-beans-vegetarian,Vegetarian Baked Beans,https://m.ftscrt.com/static/images/og_fatsecret.png,239,0.94,53.7,12.06
https://foods.fatsecret.com/calories-nutrition/generic/beans-garbanzo-cooked,Garbanzo Beans,https://m.ftscrt.com/static/images/og_fatsecret.png,295,4.9,49.17,15.65
https://foods.fatsecret.com/calories-nutrition/generic/beans-lima-raw,Lima Beans,https://m.ftscrt.com/static/images/og_fatsecret.png,176,1.34,31.47,10.67
https://foods.fatsecret.com/calories-nutrition/generic/beans-string-green-raw,Green String Beans,https://m.ftscrt.com/static/images/og_fatsecret.png,34,0.13,7.84,2
https://foods.fatsecret.com/calories-nutrition/generic/black-beans,Black Beans (Canned),https://m.ftscrt.com/static/images/og_fatsecret.png,218,0.7,39.74,14.47
https://foods.fatsecret.com/calories-nutrition/generic/black-beans-cuban-style-(habichuelas-negras-guisadas-a-la-cubana),Cuban Style Black Beans (Habichuelas Negras Guisadas A La Cubana),https://m.ftscrt.com/static/images/og_fatsecret.png,305,4.32,50,16.07
https://foods.fatsecret.com/calories-nutrition/generic/boston-baked-beans,Boston Baked Beans,https://m.ftscrt.com/static/images/og_fatsecret.png,392,12.8,55.76,15.28
https://foods.fatsecret.com/calories-nutrition/generic/chickpeas-dry-cooked,Cooked Dry Chickpeas,https://m.ftscrt.com/static/images/og_fatsecret.png,236,10.7,27.55,8.77
https://foods.fatsecret.com/calories-nutrition/generic/lentils-dry-cooked,Cooked Lentils,https://m.ftscrt.com/static/images/og_fatsecret.png,165,6.76,18.73,8.39
https://foods.fatsecret.com/calories-nutrition/generic/pinto-calico-or-red-mexican-beans-dry-cooked,"Cooked Pinto, Calico or Red Beans",https://m.ftscrt.com/static/images/og_fatsecret.png,313,14.85,33.91,11.61
https://foods.fatsecret.com/calories-nutrition/generic/quinoa-cooked,Quinoa (Cooked),https://m.ftscrt.com/static/images/og_fatsecret.png,229,3.55,42.17,8.01
https://foods.fatsecret.com/calories-nutrition/generic/refried-beans-with-cheese,Refried Beans with Cheese,https://m.ftscrt.com/static/images/og_fatsecret.png,400,16.93,45.29,18.42
https://foods.fatsecret.com/calories-nutrition/generic/refried-beans-with-meat,Refried Beans with Meat,https://m.ftscrt.com/static/images/og_fatsecret.png,488,27.83,41.14,19.58
https://foods.fatsecret.com/calories-nutrition/usda/baby-lima-beans-(mature-seeds),Baby Lima Beans (Mature Seeds),https://m.ftscrt.com/static/images/og_fatsecret.png,335,0.93,62.83,20.62
https://foods.fatsecret.com/calories-nutrition/usda/baby-lima-beans-(mature-seeds-without-salt-cooked-boiled),"Baby Lima Beans (Mature Seeds, Without Salt, Cooked, Boiled)",https://m.ftscrt.com/static/images/og_fatsecret.png,229,0.69,42.42,14.63
